carpeta,archivo,satt_true,satt_est,bias,mse,ci_95,ci_ancho,cobertura_ic,modelo_elegido,params_rf,params_gp,tiempo_seg
2,zymu_78746885.csv,2.6316798825102787,2.693969150652449,0.06228926814217,0.0038799529256871,[2.60112311 2.77101969],0.1698965765435982,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",111.47654223442078
2,zymu_78746944.csv,4.3455236926687615,4.276128291160671,-0.0693954015080908,0.0048157217504691,[4.18364407 4.35376355],0.1701194808242041,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",82.71667504310608
2,zymu_78746862.csv,2.743733605121065,2.617903866387224,-0.1258297387338416,0.0158331231498268,[2.50348756 2.7309683 ],0.2274807404577576,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",90.2748692035675
2,zymu_78746846.csv,4.039274790420795,4.512849717891547,0.4735749274707519,0.2242732119289279,[4.3447042  4.66417899],0.3194747902665185,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",97.62018465995789
2,zymu_78747012.csv,3.4796070772671484,3.056950375930188,-0.4226567013369604,0.1786386871850405,[2.39924953 3.42220171],1.022952178871955,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",88.762291431427
3,zymu_47360836.csv,2.304607203207551,2.4984373508848488,0.1938301476772976,0.037570126148603,[2.4124348  2.60161592],0.1891811145351134,False,GaussianProcess,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",177.25336599349976
3,zymu_47360952.csv,2.726362545968456,2.8456731327071543,0.1193105867386985,0.0142350161079325,[2.77287825 2.90789754],0.1350192897028574,False,GaussianProcess,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",177.5788652896881
3,zymu_47360936.csv,2.774408290599664,3.034250222991011,0.259841932391347,0.0675178298288693,[2.95891356 3.10975797],0.1508444112425491,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",99.45977520942688
3,zymu_47361089.csv,5.138105724347931,5.196163931562841,0.05805820721491,0.0033707554250094,[5.12458381 5.26864668],0.1440628640147707,True,GaussianProcess,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",148.7066535949707
3,zymu_47360894.csv,3.29012959507522,3.229932312113092,-0.0601972829621275,0.0036237128760224,[3.17035732 3.29388662],0.1235293029565927,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",143.82031989097595
3,zymu_47360809.csv,3.337327048106772,3.4511909418637883,0.1138638937570166,0.0129649863015091,[3.35393162 3.54299134],0.189059722749862,False,GaussianProcess,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",211.4505264759064
3,zymu_47361135.csv,4.453899014339286,4.611610504951434,0.1577114906121481,0.0248729142711057,[4.54314262 4.67499976],0.1318571321949342,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",85.69572615623474
3,zymu_47360970.csv,7.230230018743224,7.783281786523529,0.5530517677803051,0.3058662578449205,[7.67713775 7.87601058],0.1988728309284075,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",110.6949234008789
3,zymu_47361044.csv,3.2022805007396045,3.4874990504582004,0.2852185497185959,0.0813496211035791,[3.39746221 3.58791252],0.1904503116277918,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",105.21199083328248
